159,BUVA,PT Bukit Uluwatu Villa Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
160,BVIC,PT Bank Victoria International Tbk.,Financial and Sharia,Finance,Bank
161,BWPT,PT Eagle High Plantations Tbk.,General,Agriculture,Plantation
162,BYAN,PT Bayan Resources Tbk.,General,Mining,Coal Mining
163,CAKK,PT Cahayaputra Asa Keramik Tbk.,General,Basic Industry And Chemicals,"Ceramics, Glass, Porcelain"
164,CAMP,PT Campina Ice Cream Industry Tbk.,General,Consumer Goods Industry,Food And Beverages
165,CANI,PT Capitol Nusantara Indonesia Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
"",,,Infrastructure,,
166,CARS,PT Industri dan Perdagangan Bintraco,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
"",,Dharma Tbk.,,,
167,CASA,PT Capital Financial Indonesia Tbk.,Financial and Sharia,Finance,Others
168,CASS,PT Cardig Aero Services Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation","Toll Road, Airport, Harbor And Allied Products"
"",,,Infrastructure,,
169,CCSI,PT Communication Cable Systems,General,Miscellaneous Industry,Cable
"",,Indonesia Tbk.,,,
170,CEKA,PT Wilmar Cahaya Indonesia Tbk.,General,Consumer Goods Industry,Food And Beverages
171,CENT,PT Centratama Telekomunikasi,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Non Building Construction
"",,Indonesia Tbk.,Infrastructure,,
172,CFIN,PT Clipan Finance Indonesia Tbk.,Financing,Finance,Financial Institution
173,CINT,PT Chitose Internasional Tbk.,General,Consumer Goods Industry,Houseware
174,CITA,PT Cita Mineral Investindo Tbk.,General,Mining,Metal And Mineral Mining
175,CITY,PT Natura City Developments Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
176,CKRA,PT Cakra Mineral Tbk.,General,Mining,Metal And Mineral Mining
177,CLAY,PT Citra Putra Realty Tbk.,Property,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
178,CLEO,PT Sariguna Primatirta Tbk.,General,Consumer Goods Industry,Food And Beverages
179,CLPI,PT Colorpak Indonesia Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
180,CMNP,PT Citra Marga Nusaphala Persada,Infrastruktur /,"Infrastructure, Utilities  And Transportation","Toll Road, Airport, Harbor And Allied Products"
"",,Tbk.,Infrastructure,,
181,CMPP,PT Air Asia Indonesia Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,,Infrastructure,,
182,CNKO,PT Exploitasi Energi Indonesia Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
183,CNTX,PT Century Textile Industry Tbk.,General,Miscellaneous Industry,"Textile, Garment"
184,COCO,PT Wahana Interfood Nusantara Tbk.,General,Consumer Goods Industry,Food And Beverages
185,COWL,PT Cowell Development Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
186,CPIN,PT Charoen Pokphand Indonesia Tbk.,General,Basic Industry And Chemicals,Animal Feed
